FailedServer,http://www.golangser.com.br,29/29/2024 107:515:00,0.000000,0
Server404,http://go.dev/devops,29/29/2024 107:515:00,0.000000,404
FailedServer,http://www.golangser.com.br,29/29/2024 107:535:00,0.000000,0
Server404,http://go.dev/devops,29/29/2024 107:535:00,0.000000,404
FailedServer,http://www.golangser.com.br,29/25/2024 07:105:1054,0.000000,0
Server404,http://go.dev/devops,29/37/2024 07:105:1054,0.000000,404
FailedServer,http://www.golangser.com.br,299-100-292957 107:96,0.000000,0
Server404,http://go.dev/devops,299-100-292957 107:206,0.000000,404
FailedServer,http://www.golangser.com.br,299-100-292958 7:36,0.000000,0
Server404,http://go.dev/devops,299-100-292958 7:146,0.000000,404
FailedServer,http://www.golangser.com.br,29-10-2024 17:59,0.000000,0
Server404,http://go.dev/devops,29-10-2024 17:59,0.000000,404
FailedServer,http://www.golangser.com.br,29-10-2024 18:00,0.000000,0
Server404,http://go.dev/devops,29-10-2024 18:00,0.000000,404
